ID,MONTH,PAY,BILL_AMT,PAY_AMT
4863,MARCH,2.0,327193.0,13000.0
4863,FEBRUARY,2.0,333278.0,13000.0
4863,JANUARY,2.0,340791.0,13000.0
21620,JUNE,0.0,5819.0,2555.0
21620,MAY,0.0,8044.0,1200.0
21620,APRIL,0.0,3469.0,1000.0
21620,MARCH,0.0,2121.0,0.0
21620,FEBRUARY,0.0,821.0,3000.0
21620,JANUARY,0.0,3821.0,0.0
17937,JUNE,0.0,91415.0,20387.0
17937,MAY,0.0,79928.0,2023.0
17937,APRIL,0.0,23532.0,5060.0
17937,MARCH,0.0,23632.0,1549.0
17937,FEBRUARY,0.0,12852.0,3029.0
17937,JANUARY,0.0,5799.0,8419.0
317,JUNE,1.0,18019.0,5559.0
317,MAY,2.0,9946.0,2446.0
317,APRIL,2.0,10319.0,0.0
317,MARCH,2.0,8603.0,260.0
317,FEBRUARY,0.0,7298.0,1000.0
317,JANUARY,0.0,6709.0,1214.0
25149,JUNE,-1.0,1870.0,32607.0
25149,MAY,-1.0,32603.0,2119.0
25149,APRIL,0.0,32432.0,3008.0
25149,MARCH,0.0,27976.0,1006.0
25149,FEBRUARY,0.0,25862.0,1042.0
25149,JANUARY,0.0,24571.0,1001.0
13300,JUNE,0.0,10968.0,2000.0
13300,MAY,0.0,12480.0,6016.0
13300,APRIL,0.0,16919.0,1000.0
13300,MARCH,0.0,11775.0,1500.0
13300,FEBRUARY,0.0,13275.0,13000.0
13300,JANUARY,0.0,24901.0,500.0
5677,JUNE,0.0,99012.0,11000.0
5677,MAY,0.0,106817.0,6000.0
5677,APRIL,2.0,109646.0,0.0
5677,MARCH,2.0,106420.0,8000.0
5677,FEBRUARY,2.0,111130.0,4000.0
5677,JANUARY,2.0,113204.0,5000.0
1012,JUNE,2.0,63632.0,3000.0
1012,MAY,0.0,131132.0,2431.0
1012,APRIL,0.0,66940.0,2506.0
1012,MARCH,0.0,68332.0,3000.0
1012,FEBRUARY,0.0,70169.0,2950.0
1012,JANUARY,0.0,66709.0,4000.0
11335,JUNE,-1.0,7593.0,8677.0
11335,MAY,-1.0,8660.0,0.0
11335,APRIL,-1.0,0.0,30498.0
11335,MARCH,-1.0,30498.0,1174.0
11335,FEBRUARY,-1.0,1174.0,0.0
11335,JANUARY,-1.0,0.0,800.0
7251,JUNE,-2.0,-2044.0,5966.0
7251,MAY,-2.0,1961.0,1201.0
7251,APRIL,2.0,2983.0,0.0
7251,MARCH,2.0,2790.0,1000.0
7251,FEBRUARY,2.0,3589.0,0.0
7251,JANUARY,2.0,3388.0,1000.0
22408,JUNE,-1.0,1426.0,326.0
22408,MAY,-1.0,326.0,1976.0
22408,APRIL,-1.0,1976.0,810.0
22408,MARCH,-1.0,810.0,2165.0
22408,FEBRUARY,-1.0,2165.0,0.0
22408,JANUARY,2.0,1997.0,28377.0
11543,JUNE,0.0,302396.0,2000.0
11543,MAY,-1.0,2000.0,2604.0
11543,APRIL,-1.0,2208.0,215917.0
11543,MARCH,-1.0,105145.0,3685.0
11543,FEBRUARY,0.0,106511.0,3700.0
11543,JANUARY,0.0,108228.0,3786.0
8976,JUNE,0.0,85988.0,5000.0
8976,MAY,0.0,88410.0,7500.0
8976,APRIL,0.0,93234.0,0.0
8976,MARCH,2.0,90571.0,6000.0
8976,FEBRUARY,0.0,94653.0,50000.0
8976,JANUARY,0.0,142549.0,0.0
29636,JUNE,2.0,272399.0,11232.0
29636,MAY,0.0,258413.0,11068.0
29636,APRIL,0.0,256033.0,9035.0
29636,MARCH,0.0,245772.0,9018.0
29636,FEBRUARY,0.0,243818.0,9018.0
29636,JANUARY,0.0,245235.0,9030.0
3343,JUNE,-1.0,832.0,0.0
3343,MAY,2.0,416.0,832.0
3343,APRIL,-1.0,832.0,0.0
3343,MARCH,0.0,416.0,832.0
3343,FEBRUARY,-1.0,832.0,0.0
3343,JANUARY,0.0,416.0,416.0
19251,JUNE,0.0,49803.0,1390.0
19251,MAY,0.0,25781.0,4375.0
19251,APRIL,0.0,18400.0,271.0
19251,MARCH,0.0,10978.0,497.0
19251,FEBRUARY,0.0,1175.0,34255.0
19251,JANUARY,-1.0,32857.0,1048.0
9523,JUNE,0.0,86401.0,3991.0
9523,MAY,0.0,88991.0,4071.0
9523,APRIL,0.0,91571.0,4000.0
9523,MARCH,0.0,94045.0,5600.0
9523,FEBRUARY,2.0,97965.0,5000.0
9523,JANUARY,2.0,101176.0,4000.0
18012,JUNE,-2.0,2729.0,2543.0
18012,MAY,-2.0,2538.0,6247.0
18012,APRIL,-2.0,6244.0,1300.0
18012,MARCH,-2.0,1297.0,1766.0
18012,FEBRUARY,-2.0,1763.0,1912.0
18012,JANUARY,-2.0,1907.0,1000.0
9812,JUNE,2.0,54313.0,4600.0
9812,MAY,2.0,57988.0,2800.0
9812,APRIL,2.0,59271.0,2300.0
9812,MARCH,2.0,60013.0,0.0
9812,FEBRUARY,2.0,58453.0,2800.0
9812,JANUARY,0.0,60155.0,6300.0
7733,JUNE,0.0,38985.0,10107.0
7733,MAY,0.0,36466.0,20000.0
7733,APRIL,0.0,31907.0,10000.0
7733,MARCH,0.0,33300.0,10000.0
7733,FEBRUARY,0.0,34681.0,10000.0
7733,JANUARY,0.0,36060.0,10000.0
20537,JUNE,1.0,23704.0,0.0
20537,MAY,2.0,21774.0,2000.0
20537,APRIL,0.0,21818.0,1261.0
20537,MARCH,-1.0,1261.0,1261.0
20537,FEBRUARY,-1.0,1261.0,1261.0
20537,JANUARY,-1.0,1261.0,1651.0
6273,JUNE,-2.0,10692.0,0.0
6273,MAY,-2.0,-3.0,0.0
6273,APRIL,-2.0,-3.0,0.0
6273,MARCH,-2.0,-3.0,653.0
6273,FEBRUARY,-2.0,650.0,1859.0
6273,JANUARY,-2.0,1850.0,1411.0
7561,JUNE,1.0,12127.0,0.0
7561,MAY,2.0,11647.0,2000.0
7561,APRIL,0.0,13138.0,2000.0
7561,MARCH,0.0,14903.0,3000.0
7561,FEBRUARY,0.0,17664.0,2000.0
7561,JANUARY,0.0,19371.0,2000.0
13469,JUNE,-2.0,5106.0,280.0
13469,MAY,-2.0,280.0,6160.0
13469,APRIL,-2.0,6158.0,9439.0
13469,MARCH,-2.0,9439.0,5492.0
13469,FEBRUARY,-2.0,5492.0,397.0
13469,JANUARY,-2.0,397.0,1790.0
13655,JUNE,0.0,50094.0,2479.0
13655,MAY,0.0,50461.0,2412.0
13655,APRIL,0.0,50994.0,1162.0
13655,MARCH,0.0,30521.0,1199.0
13655,FEBRUARY,0.0,30242.0,1223.0
13655,JANUARY,0.0,30193.0,1199.0
16728,JUNE,0.0,92575.0,4000.0
16728,MAY,0.0,86147.0,5009.0
16728,APRIL,0.0,87889.0,4000.0
16728,MARCH,0.0,61123.0,3027.0
16728,FEBRUARY,0.0,59395.0,3000.0
16728,JANUARY,0.0,52189.0,2500.0
16827,JUNE,3.0,1250.0,0.0
16827,MAY,2.0,1250.0,0.0
16827,APRIL,2.0,1250.0,0.0
16827,MARCH,5.0,1250.0,0.0
16827,FEBRUARY,5.0,1250.0,0.0
16827,JANUARY,4.0,650.0,0.0
12137,JUNE,1.0,0.0,2300.0
12137,MAY,-1.0,2300.0,15093.0
12137,APRIL,-1.0,15093.0,0.0
12137,MARCH,-1.0,0.0,0.0
12137,FEBRUARY,-2.0,0.0,0.0
12137,JANUARY,-2.0,0.0,0.0
25682,JUNE,2.0,7451.0,2000.0
25682,MAY,2.0,5119.0,1500.0
25682,APRIL,2.0,5546.0,1000.0
25682,MARCH,2.0,6302.0,1000.0
25682,FEBRUARY,0.0,7193.0,1000.0
25682,JANUARY,0.0,8075.0,1000.0
24704,JUNE,0.0,62315.0,2200.0
24704,MAY,0.0,60180.0,2200.0
24704,APRIL,0.0,58108.0,2000.0
24704,MARCH,0.0,55774.0,1967.0
24704,FEBRUARY,0.0,53589.0,2002.0
24704,JANUARY,0.0,51345.0,1727.0
14588,JUNE,0.0,238739.0,10000.0
14588,MAY,0.0,244629.0,10000.0
14588,APRIL,0.0,250277.0,20000.0
14588,MARCH,0.0,265764.0,10000.0
14588,FEBRUARY,0.0,271231.0,11000.0
14588,JANUARY,0.0,277427.0,11000.0
9764,JUNE,1.0,0.0,1381.0
9764,MAY,-1.0,1381.0,0.0
9764,APRIL,3.0,1214.0,457.0
9764,MARCH,2.0,1494.0,0.0
9764,FEBRUARY,2.0,457.0,5523.0
9764,JANUARY,-1.0,5523.0,10379.0
6327,JUNE,-1.0,316.0,31895.0
6327,MAY,-1.0,31895.0,316.0
6327,APRIL,-1.0,316.0,316.0
6327,MARCH,-1.0,316.0,316.0
6327,FEBRUARY,-1.0,316.0,31775.0
6327,JANUARY,-1.0,31775.0,1152.0
21052,JUNE,0.0,61756.0,2200.0
21052,MAY,0.0,60800.0,2100.0
21052,APRIL,0.0,55390.0,8000.0
21052,MARCH,0.0,50221.0,800.0
21052,FEBRUARY,0.0,22032.0,1000.0
21052,JANUARY,0.0,20710.0,1000.0
15440,JUNE,0.0,17372.0,1500.0
15440,MAY,0.0,17859.0,3000.0
15440,APRIL,0.0,20567.0,0.0
15440,MARCH,2.0,19928.0,1000.0
15440,FEBRUARY,0.0,18711.0,1000.0
15440,JANUARY,0.0,19408.0,1500.0
16037,JUNE,0.0,31170.0,2005.0
16037,MAY,0.0,20413.0,1206.0
16037,APRIL,0.0,13738.0,1000.0
16037,MARCH,0.0,6326.0,600.0
16037,FEBRUARY,0.0,1452.0,500.0
16037,JANUARY,0.0,1612.0,1000.0
10725,JUNE,0.0,277680.0,12005.0
10725,MAY,0.0,281719.0,10155.0
10725,APRIL,0.0,284381.0,6000.0
10725,MARCH,0.0,155562.0,5000.0
10725,FEBRUARY,0.0,158448.0,6000.0
10725,JANUARY,0.0,162626.0,6000.0
23575,JUNE,1.0,100364.0,107.0
23575,MAY,2.0,97551.0,2893.0
23575,APRIL,0.0,66365.0,2104.0
23575,MARCH,0.0,62913.0,312.0
23575,FEBRUARY,0.0,9389.0,207.0
23575,JANUARY,0.0,6076.0,2004.0
26716,JUNE,-1.0,1068.0,0.0
26716,MAY,-1.0,0.0,100.0
26716,APRIL,-1.0,100.0,0.0
26716,MARCH,-1.0,0.0,1050.0
26716,FEBRUARY,-1.0,1050.0,0.0
26716,JANUARY,-1.0,-150.0,0.0
7129,JUNE,0.0,47486.0,1703.0
7129,MAY,0.0,47963.0,1304.0
7129,APRIL,0.0,33499.0,680.0
7129,MARCH,0.0,19227.0,696.0
7129,FEBRUARY,0.0,19334.0,717.0
7129,JANUARY,0.0,19735.0,677.0
25471,JUNE,2.0,326.0,326.0
25471,MAY,-1.0,326.0,326.0
25471,APRIL,-1.0,326.0,652.0
25471,MARCH,-1.0,652.0,0.0
25471,FEBRUARY,0.0,326.0,29326.0
25471,JANUARY,-1.0,29326.0,326.0
24464,JUNE,0.0,24986.0,2000.0
24464,MAY,0.0,23000.0,1000.0
24464,APRIL,-1.0,1000.0,0.0
24464,MARCH,-1.0,0.0,0.0
24464,FEBRUARY,-2.0,0.0,0.0
24464,JANUARY,-2.0,0.0,0.0
23821,JUNE,0.0,25288.0,3000.0
23821,MAY,0.0,27549.0,2000.0
23821,APRIL,0.0,28784.0,1800.0
23821,MARCH,0.0,28708.0,2000.0
23821,FEBRUARY,0.0,27916.0,3000.0
23821,JANUARY,0.0,30333.0,2500.0
8445,JUNE,0.0,54050.0,2500.0
8445,MAY,0.0,54555.0,2000.0
8445,APRIL,0.0,15177.0,2000.0
8445,MARCH,0.0,16610.0,628.0
8445,FEBRUARY,0.0,16821.0,3525.0
8445,JANUARY,0.0,20048.0,3000.0
24357,JUNE,2.0,28224.0,1800.0
24357,MAY,2.0,29276.0,150.0
24357,APRIL,2.0,28635.0,2250.0
24357,MARCH,2.0,30127.0,1000.0
24357,FEBRUARY,2.0,30525.0,0.0
24357,JANUARY,2.0,29793.0,700.0
19531,JUNE,0.0,8193.0,43003.0
19531,MAY,0.0,43012.0,2107.0
19531,APRIL,0.0,36780.0,1246.0
19531,MARCH,0.0,31372.0,346.0
19531,FEBRUARY,0.0,17308.0,30000.0
19531,JANUARY,0.0,35943.0,53000.0
11712,JUNE,-2.0,603.0,1867.0
11712,MAY,-2.0,1867.0,2661.0
11712,APRIL,-1.0,2470.0,3887.0
11712,MARCH,-1.0,3887.0,1000.0
11712,FEBRUARY,0.0,4731.0,4000.0
11712,JANUARY,0.0,8710.0,1000.0
16756,JUNE,-2.0,28106.0,2701.0
16756,MAY,-2.0,1323.0,363.0
16756,APRIL,-2.0,-363.0,513.0
16756,MARCH,-1.0,137.0,4107.0
16756,FEBRUARY,-1.0,4094.0,607.0
16756,JANUARY,-1.0,607.0,0.0
5291,JUNE,3.0,76620.0,0.0
5291,MAY,2.0,74813.0,5395.0
5291,APRIL,2.0,69802.0,2433.0
5291,MARCH,2.0,69887.0,0.0
5291,FEBRUARY,2.0,68023.0,2471.0
5291,JANUARY,0.0,68734.0,5191.0
14825,JUNE,-1.0,38913.0,319.0
14825,MAY,-1.0,319.0,8157.0
14825,APRIL,-1.0,8157.0,21228.0
14825,MARCH,-1.0,21228.0,326.0
14825,FEBRUARY,-1.0,326.0,1518.0
14825,JANUARY,-1.0,1518.0,47374.0
21091,JUNE,0.0,15605.0,5649.0
21091,MAY,0.0,20649.0,2397.0
21091,APRIL,0.0,22397.0,1305.0
21091,MARCH,0.0,23305.0,2341.0
21091,FEBRUARY,0.0,25341.0,5584.0
21091,JANUARY,0.0,30584.0,1388.0
27199,JUNE,0.0,49156.0,4000.0
27199,MAY,0.0,50162.0,2400.0
27199,APRIL,0.0,49170.0,2000.0
27199,MARCH,0.0,49426.0,2459.0
27199,FEBRUARY,0.0,50906.0,2100.0
27199,JANUARY,0.0,45886.0,5000.0
11940,JUNE,-1.0,140.0,94.0
11940,MAY,-1.0,94.0,39.0
11940,APRIL,-1.0,39.0,44.0
11940,MARCH,-1.0,44.0,0.0
11940,FEBRUARY,-1.0,0.0,0.0
11940,JANUARY,-2.0,0.0,790.0
5312,JUNE,0.0,27020.0,1703.0
5312,MAY,0.0,27985.0,1500.0
5312,APRIL,0.0,28782.0,1000.0
5312,MARCH,0.0,24082.0,1000.0
5312,FEBRUARY,0.0,17060.0,0.0
5312,JANUARY,0.0,0.0,0.0
22215,JUNE,0.0,59423.0,5500.0
22215,MAY,0.0,63347.0,146.0
22215,APRIL,2.0,61183.0,1500.0
22215,MARCH,0.0,29052.0,1200.0
22215,FEBRUARY,0.0,29087.0,1500.0
22215,JANUARY,0.0,27296.0,1500.0
4674,JUNE,-1.0,300878.0,2250.0
4674,MAY,-1.0,2250.0,0.0
4674,APRIL,-1.0,0.0,0.0
4674,MARCH,-2.0,0.0,692.0
4674,FEBRUARY,-1.0,692.0,1560.0
4674,JANUARY,-1.0,1560.0,1838.0
18480,JUNE,-1.0,4479.0,15499.0
18480,MAY,-1.0,8025.0,0.0
18480,APRIL,2.0,3499.0,3302.0
18480,MARCH,-1.0,3264.0,0.0
18480,FEBRUARY,-1.0,-550.0,0.0
18480,JANUARY,-2.0,-550.0,1250.0
2670,JUNE,0.0,18883.0,2000.0
2670,MAY,0.0,20272.0,3000.0
2670,APRIL,0.0,22577.0,1000.0
2670,MARCH,0.0,21037.0,2000.0
2670,FEBRUARY,0.0,22373.0,1500.0
2670,JANUARY,0.0,23352.0,1000.0
6411,JUNE,0.0,37012.0,4924.0
6411,MAY,-1.0,4810.0,3969.0
6411,APRIL,-1.0,3969.0,6657.0
6411,MARCH,-1.0,6657.0,642.0
6411,FEBRUARY,-1.0,642.0,6204.0
6411,JANUARY,-2.0,6204.0,7052.0
22791,JUNE,0.0,37253.0,5500.0
22791,MAY,0.0,38075.0,6194.0
22791,APRIL,2.0,32982.0,1200.0
22791,MARCH,2.0,31857.0,0.0
22791,FEBRUARY,2.0,29647.0,2000.0
22791,JANUARY,0.0,29585.0,2000.0
5670,JUNE,-1.0,6723.0,17410.0
5670,MAY,-1.0,17385.0,32077.0
5670,APRIL,-1.0,32046.0,32579.0
5670,MARCH,-1.0,32530.0,18914.0
5670,FEBRUARY,-1.0,18896.0,17069.0
5670,JANUARY,-1.0,17049.0,16738.0
12720,JUNE,0.0,60697.0,5000.0
12720,MAY,0.0,64440.0,5000.0
12720,APRIL,0.0,67503.0,5007.0
12720,MARCH,0.0,68566.0,5000.0
12720,FEBRUARY,0.0,65411.0,5000.0
12720,JANUARY,0.0,66597.0,5000.0
7956,JUNE,-1.0,165.0,341.0
7956,MAY,-1.0,341.0,165.0
7956,APRIL,-1.0,165.0,1031.0
7956,MARCH,-1.0,1031.0,0.0
7956,FEBRUARY,0.0,487.0,863.0
7956,JANUARY,-1.0,863.0,487.0
8950,JUNE,0.0,21943.0,15000.0
8950,MAY,0.0,36519.0,20000.0
8950,APRIL,0.0,55515.0,3330.0
8950,MARCH,2.0,49049.0,30000.0
8950,FEBRUARY,0.0,57178.0,10000.0
8950,JANUARY,0.0,42009.0,10000.0
15204,JUNE,2.0,45870.0,2100.0
15204,MAY,2.0,46944.0,0.0
15204,APRIL,2.0,45874.0,3500.0
15204,MARCH,2.0,48326.0,0.0
15204,FEBRUARY,2.0,47440.0,3758.0
15204,JANUARY,2.0,50426.0,5.0
13784,JUNE,2.0,70144.0,6500.0
13784,MAY,2.0,74850.0,3400.0
13784,APRIL,2.0,76463.0,3000.0
13784,MARCH,2.0,77611.0,3000.0
13784,FEBRUARY,2.0,78735.0,3100.0
13784,JANUARY,2.0,80430.0,3110.0
17987,JUNE,-2.0,4833.0,6370.0
17987,MAY,-2.0,6370.0,2342.0
17987,APRIL,-2.0,2342.0,810.0
17987,MARCH,-2.0,810.0,10253.0
17987,FEBRUARY,-2.0,9743.0,1000.0
17987,JANUARY,-2.0,1000.0,7079.0
1057,JUNE,0.0,17384.0,1500.0
1057,MAY,0.0,13648.0,1400.0
1057,APRIL,0.0,13924.0,2000.0
1057,MARCH,0.0,15685.0,0.0
1057,FEBRUARY,2.0,15292.0,2500.0
1057,JANUARY,2.0,17524.0,0.0
19968,JUNE,0.0,2602.0,10000.0
19968,MAY,0.0,12150.0,0.0
19968,APRIL,2.0,11670.0,1036.0
19968,MARCH,0.0,12167.0,79.0
19968,FEBRUARY,0.0,2210.0,232.0
19968,JANUARY,0.0,2406.0,110.0
21461,JUNE,0.0,30005.0,1842.0
21461,MAY,0.0,30621.0,1708.0
21461,APRIL,0.0,30308.0,1163.0
21461,MARCH,0.0,30163.0,1199.0
21461,FEBRUARY,0.0,29999.0,1173.0
21461,JANUARY,0.0,29973.0,952.0
17750,JUNE,1.0,30783.0,3058.0
17750,MAY,2.0,33017.0,0.0
17750,APRIL,2.0,30413.0,3000.0
17750,MARCH,0.0,32582.0,3000.0
17750,FEBRUARY,0.0,34727.0,2002.0
17750,JANUARY,2.0,36036.0,0.0
12533,JUNE,0.0,29987.0,2007.0
12533,MAY,0.0,29219.0,2049.0
12533,APRIL,0.0,27865.0,1045.0
12533,MARCH,0.0,11166.0,23610.0
12533,FEBRUARY,0.0,32261.0,4000.0
12533,JANUARY,0.0,7961.0,1000.0
28670,JUNE,0.0,71147.0,3800.0
28670,MAY,0.0,72227.0,3200.0
28670,APRIL,0.0,71078.0,1950.0
28670,MARCH,0.0,50777.0,2000.0
28670,FEBRUARY,0.0,50841.0,1828.0
28670,JANUARY,0.0,50682.0,2200.0
7737,JUNE,-2.0,8971.0,2303.0
7737,MAY,-2.0,2284.0,21785.0
7737,APRIL,-2.0,21669.0,0.0
7737,MARCH,-2.0,-3.0,15869.0
7737,FEBRUARY,-2.0,15866.0,0.0
7737,JANUARY,-2.0,-46.0,0.0
7703,JUNE,2.0,101483.0,4500.0
7703,MAY,0.0,101638.0,5000.0
7703,APRIL,0.0,101461.0,4000.0
7703,MARCH,0.0,101461.0,3300.0
7703,FEBRUARY,0.0,91752.0,3400.0
7703,JANUARY,0.0,91532.0,15003.0
8374,JUNE,0.0,10450.0,1011.0
8374,MAY,0.0,3388.0,11000.0
8374,APRIL,0.0,11722.0,1220.0
8374,MARCH,0.0,10937.0,21528.0
8374,FEBRUARY,-1.0,21528.0,780.0
8374,JANUARY,0.0,20835.0,17.0
1785,JUNE,2.0,71586.0,3100.0
1785,MAY,2.0,71623.0,3008.0
1785,APRIL,2.0,71020.0,0.0
1785,MARCH,2.0,67338.0,5100.0
1785,FEBRUARY,2.0,70769.0,2600.0
1785,JANUARY,2.0,68957.0,0.0
6540,JUNE,0.0,77039.0,2984.0
6540,MAY,0.0,78746.0,2449.0
6540,APRIL,0.0,79757.0,1612.0
6540,MARCH,0.0,40498.0,798.0
6540,FEBRUARY,0.0,29212.0,1307.0
6540,JANUARY,0.0,29621.0,359.0
25810,JUNE,-1.0,8571.0,21041.0
25810,MAY,-1.0,21012.0,10607.0
25810,APRIL,-1.0,10607.0,47258.0
25810,MARCH,-1.0,47258.0,983.0
25810,FEBRUARY,0.0,35675.0,20691.0
25810,JANUARY,-1.0,20691.0,23849.0
3763,JUNE,0.0,112119.0,25000.0
3763,MAY,0.0,119230.0,150000.0
3763,APRIL,0.0,259489.0,90168.0
3763,MARCH,0.0,328507.0,25001.0
3763,FEBRUARY,0.0,283758.0,10000.0
